Transaction_ID,Customer_Name,Email,Phone,Product,Category,Quantity,Unit_Price,Total_Amount,Purchase_Date,Payment_Method,Country,Return_Status,Return_Reason,Sales_Rep
TRANS_1,,,,,Home,3,904.62,2713.86,2019-01-01 00:00:00.000000000,Card,UK,Pending,Unwanted,
TRANS_2,Michelle Chang,lauriecarroll@yahoo.com,540-411-5054,Phone,,4,1647.61,6590.44,2019-01-01 03:30:21.001400093,Card,UK,,Wrong Item,Shelley Walker
TRANS_3,Jessica Castro,pthompson@hotmail.com,(005)801-1699x585,Phone,Home,4,723.14,2892.56,2019-01-01 07:00:42.002800186,Cheque,Canada,,Defective,Jonathan Gilbert
TRANS_4,John Perry,calvin14@hotmail.com,+1-166-951-2530x0213,Camera,Accessories,6,994.14,5964.84,2019-01-01 10:31:03.004200280,Online,,Yes,Unwanted,Suzanne Martin
TRANS_5,Kathryn Callahan,daniel37@owen.info,0706117139,Camera,Gadgets,5,1295.49,6477.45,2019-01-01 14:01:24.005600373,Online,USA,Pending,,Eric Turner
TRANS_6,Amy Thompson,ysingleton@allen.com,833-366-3335x94244,Headphones,,9,1954.93,17594.37,2019-01-01 17:31:45.007000466,Cash,USA,Yes,Wrong Item,Dennis Johnson
TRANS_7,Michael Bowen,tiffany53@hotmail.com,+1-846-587-9509x531,Headphones,Accessories,4,483.22,1932.88,2019-01-01 21:02:06.008400560,Card,UK,Pending,,Nicholas Johnson
TRANS_8,Joseph Welch,qparker@gmail.com,447-279-1685,Phone,Accessories,2,1619.72,3239.44,2019-01-02 00:32:27.009800653,Online,Germany,Pending,Unwanted,Randy Gregory
TRANS_9,Jacob Baldwin,mmccall@phillips-martin.net,(611)685-3092x4605,Smartwatch,Accessories,8,1725.0,13800.0,2019-01-02 04:02:48.011200746,,Germany,No,,Kevin Rogers
TRANS_10,Alyssa Juarez,johnsonmelissa@yahoo.com,001-823-077-7943x499,Camera,,3,912.39,2737.17,2019-01-02 07:33:09.012600840,Cash,USA,Pending,,Stephanie Garcia
TRANS_11,Deanna Mitchell,kimberlysnyder@yahoo.com,(633)322-7754,Tablet,Gadgets,8,1707.14,13657.12,2019-01-02 11:03:30.014000933,Cheque,Germany,Yes,Wrong Item,
TRANS_12,Donna Horn,brenda63@martin.com,772.107.6163x1834,Camera,Home,1,1908.8,1908.8,2019-01-02 14:33:51.015401026,Card,USA,,Wrong Item,Ronald Mason
TRANS_13,Molly Hunter,rhonda13@reyes.com,662-390-7996,Camera,Accessories,9,1778.46,16006.14,2019-01-02 18:04:12.016801120,Card,,,Unwanted,Gloria Liu
TRANS_14,Zachary Flores,thompsonmorgan@golden.net,840-733-7373x569,Headphones,Home,6,375.91,2255.46,2019-01-02 21:34:33.018201213,Cheque,,Yes,Defective,Paul Raymond
TRANS_15,Angela Simmons,brian12@gmail.com,(097)312-0581x061,Phone,Gadgets,2,695.56,1391.12,2019-01-03 01:04:54.019601306,Card,,,,Natalie Best
TRANS_16,Deanna Dudley,cantupeter@yahoo.com,+1-818-956-4010x837,Smartwatch,Gadgets,2,1666.35,3332.7,2019-01-03 04:35:15.021001400,Cash,Canada,No,Wrong Item,Mary Castillo
TRANS_17,Andrew Fernandez,fvasquez@hotmail.com,583.375.3954,Smartwatch,,3,318.28,954.8399999999999,2019-01-03 08:05:36.022401493,Card,Germany,No,,Maria Richardson
TRANS_18,Mr. Bryan Henderson,justinchen@bean-adams.com,001-060-022-5908,,,8,482.53,3860.24,2019-01-03 11:35:57.023801586,Cash,UK,Pending,Wrong Item,Stephanie Orr
TRANS_19,Eric David,harrellbrenda@wilson-garcia.com,589-473-7101x037,,Accessories,3,1007.79,3023.37,2019-01-03 15:06:18.025201680,Card,Canada,No,,Wendy Gonzales
TRANS_20,Michael Rose,sanchezlindsay@davis.org,001-528-245-6368x869,Tablet,Gadgets,2,806.7,1613.4,2019-01-03 18:36:39.026601773,,Germany,Yes,,Ryan Lopez
TRANS_21,,briancox@gmail.com,022.928.4919x832,Camera,Home,9,220.65,1985.8500000000001,2019-01-03 22:07:00.028001866,Card,USA,Yes,Unwanted,
TRANS_22,Jose Morgan,angelicawillis@rios-bryant.com,761.353.3761,Tablet,Gadgets,5,1609.02,8045.1,2019-01-04 01:37:21.029401960,Cash,Germany,No,Unwanted,Tracy Wu
TRANS_23,Lisa Rogers,abbottryan@gmail.com,(152)675-3638x71644,,Accessories,6,428.18,2569.08,2019-01-04 05:07:42.030802053,Online,USA,,Defective,Brandon Weaver
TRANS_24,Adam Edwards,nguyenchristina@gmail.com,001-318-432-2797x703,Headphones,Accessories,8,1259.71,10077.68,2019-01-04 08:38:03.032202146,Cash,USA,Pending,,Alicia Cummings
TRANS_25,Michael Terry,cheryl95@smith-jones.com,761-827-9567x118,Laptop,Home,3,935.45,2806.3500000000004,2019-01-04 12:08:24.033602240,Cash,USA,,Unwanted,Lisa Powell
TRANS_26,Kristina Barton,jonathanbeltran@diaz.net,,,,7,1731.24,12118.68,2019-01-04 15:38:45.035002333,Cheque,Canada,,,Amanda Pearson
TRANS_27,Nicholas Day,william97@yahoo.com,001-656-243-3260x16433,,Electronics,8,1188.27,9506.16,2019-01-04 19:09:06.036402426,Cash,,Pending,Unwanted,Sarah Jimenez
TRANS_28,Cheryl Moore,heather40@mcdonald.org,+1-830-179-9043x900,Laptop,Gadgets,6,295.23,1771.38,2019-01-04 22:39:27.037802520,Cash,Canada,,Defective,David Arias
TRANS_29,Randy Williams,lisa75@yahoo.com,468-401-5355x80056,Laptop,,6,472.85,2837.1000000000004,2019-01-05 02:09:48.039202613,Card,Germany,No,Defective,Nancy Young
TRANS_30,Adam Graves,chernandez@williams-wallace.com,+1-240-615-9528x31326,Smartwatch,Electronics,6,1296.71,7780.26,2019-01-05 05:40:09.040602706,Cheque,USA,No,Defective,Johnny Murphy
TRANS_31,Mason Reynolds,,6014381963,Tablet,Gadgets,5,1485.58,7427.9,2019-01-05 09:10:30.042002800,,,,Wrong Item,
TRANS_32,Brittany Douglas,parkermichelle@hotmail.com,2367950637,,,8,704.11,5632.88,2019-01-05 12:40:51.043402893,Cheque,,Pending,Wrong Item,Stephanie Torres
TRANS_33,Jeffery Tucker,cowansarah@hotmail.com,(089)995-4956x42636,Camera,Home,7,623.27,4362.889999999999,2019-01-05 16:11:12.044802986,Cash,Canada,,Wrong Item,Larry Vance
TRANS_34,Lisa Forbes,matthew03@hotmail.com,526-223-5830x423,Tablet,Home,9,1118.7,10068.300000000001,2019-01-05 19:41:33.046203080,,UK,,,Haley Wallace
TRANS_35,Jerry Rich,charles11@thompson.net,386.598.3376,Phone,Home,1,1114.68,1114.68,2019-01-05 23:11:54.047603173,Online,UK,Yes,,Sarah Ellis
TRANS_36,Maria Kennedy MD,ashepherd@bennett-taylor.com,6404439997,Tablet,Electronics,5,435.05,2175.25,2019-01-06 02:42:15.049003266,,,,,Alec Schneider
TRANS_37,Stephanie Flores,houstonbenjamin@hotmail.com,432-468-1519x7498,,,5,1106.95,5534.75,2019-01-06 06:12:36.050403360,,UK,,,Lynn Livingston
TRANS_38,Brian Cook,fullerdaniel@gmail.com,(091)572-3334x918,Phone,Gadgets,0,447.55,0.0,2019-01-06 09:42:57.051803453,Cheque,USA,Pending,,Elizabeth Mcdonald
TRANS_39,Tracy Parker,daniel04@martin.org,848.812.9243,Tablet,,9,827.16,7444.44,2019-01-06 13:13:18.053203546,,USA,,,James Smith
TRANS_40,Crystal Watson,goldenlisa@conrad.net,404-169-6229,Smartwatch,Gadgets,3,646.69,1940.0700000000002,2019-01-06 16:43:39.054603640,Online,Canada,,,Melinda Morrow
TRANS_41,,ann46@hotmail.com,+1-422-994-4335x78544,Tablet,Gadgets,4,548.92,2195.68,2019-01-06 20:14:00.056003733,,USA,No,Defective,
